Azimuth (degrees), Elevation (degrees), x (milliGauss), y (milliGauss), z (milliGauss)
-174.516, -92.441, -375, -36, -844.5
176.186, -88.4033, -360, 24, -861
164.846, -83.5947, -360, 97.5, -868.5
160.784, -81.7872, -361.5, 126, -873
150.507, -77.8985, -331.5, 187.5, -874.5
140.612, -75.1655, -285, 234, -883.5
135.335, -73.8224, -258, 255, -879
131.987, -74.7283, -216, 240, -879
137.437, -77.258, -220.5, 202.5, -895.5
140.5, -78.4315, -222, 183, -894
139.3, -78.3202, -214.5, 184.5, -892.5
136.502, -77.7352, -205.5, 195, -897
137.612, -77.2288, -223.5, 204, -900
136.469, -77.2547, -210, 199.5, -882
135.801, -76.7113, -217.5, 211.5, -895.5
137.006, -78.2279, -199.5, 186, -892.5
138.504, -76.8996, -234, 207, -889.5
137.344, -74.2113, -267, 246, -870
142.809, -75.6676, -298.5, 226.5, -886.5
149.184, -76.8691, -342, 204, -874.5
150.255, -77.1358, -346.5, 198, -867
152.745, -78.3073, -346.5, 178.5, -862.5
155.611, -79.5298, -354, 160.5, -868.5
154.867, -78.8988, -364.5, 171, -871.5
159.829, -81.0582, -367.5, 135, -858
162.693, -81.3453, -414, 129, -847.5
164.253, -81.2229, -457.5, 129, -835.5
166.759, -81.4954, -510, 120, -802.5
166.675, -79.8556, -570, 135, -754.5
164.676, -79.4928, -531, 145.5, -784.5
163.86, -79.1508, -523.5, 151.5, -790.5
163.673, -76.6813, -594, 174, -735
161.83, -75.3601, -585, 192, -735
162.605, -75.7169, -598.5, 187.5, -736.5
162.325, -75.7411, -579, 184.5, -726
162.041, -74.9572, -597, 193.5, -720
161.609, -75.0168, -582, 193.5, -723
161.824, -74.7044, -598.5, 196.5, -718.5
161.869, -74.9059, -595.5, 195, -723
162.134, -75.3551, -591, 190.5, -729
161.522, -74.725, -597, 199.5, -730.5
162.488, -75.5729, -589.5, 186, -723
161.303, -74.6348, -589.5, 199.5, -726
161.09, -74.2121, -595.5, 204, -721.5
161.608, -74.8642, -595.5, 198, -732
161.822, -74.6845, -603, 198, -723
161.303, -74.695, -589.5, 199.5, -729
161.783, -74.9059, -592.5, 195, -723
162.277, -75.8266, -582, 186, -736.5
161.914, -75.0464, -592.5, 193.5, -724.5
161.957, -75.1054, -594, 193.5, -727.5
162.176, -75.3839, -592.5, 190.5, -730.5
161.433, -74.8849, -585, 196.5, -727.5
161.651, -74.8345, -597, 198, -730.5
162.44, -75.519, -592.5, 187.5, -726
162.045, -75.2448, -592.5, 192, -729
161.305, -74.402, -594, 201, -720
162.308, -75.4368, -592.5, 189, -727.5
162.08, -74.8158, -603, 195, -718.5
162.488, -75.7709, -589.5, 186, -733.5
162.523, -75.6327, -595.5, 187.5, -732
162.356, -75.6609, -589.5, 187.5, -733.5
163.222, -76.373, -597, 180, -742.5
162.297, -75.2157, -601.5, 192, -727.5
162.427, -75.5262, -601.5, 190.5, -738
162.523, -75.6045, -595.5, 187.5, -730.5
162.613, -75.6584, -594, 186, -727.5
161.911, -74.9655, -597, 195, -726
162.433, -75.6074, -597, 189, -736.5
162.35, -75.408, -594, 189, -726
162.049, -75.3839, -588, 190.5, -730.5
162.009, -75.4655, -582, 189, -729
162.826, -75.7411, -597, 184.5, -726
162.704, -75.7974, -592.5, 184.5, -729
162.877, -75.8804, -594, 183, -727.5
163.248, -76.0468, -603, 181.5, -730.5
162.736, -75.8542, -598.5, 186, -738
162.266, -75.551, -591, 189, -733.5
162.572, -75.5729, -592.5, 186, -723
162.13, -75.1572, -595.5, 192, -724.5
162.557, -75.408, -601.5, 189, -726
162.613, -75.6584, -594, 186, -727.5
162.261, -75.4126, -595.5, 190.5, -732
163.182, -76.185, -595.5, 180, -732
163.379, -76.1303, -603, 180, -729
163.34, -76.2662, -601.5, 180, -736.5
162.219, -75.4696, -594, 190.5, -735
162.446, -75.5729, -588, 186, -723
162.096, -75.4368, -585, 189, -727.5
162.344, -75.2389, -598.5, 190.5, -723
162.736, -75.7149, -598.5, 186, -730.5
161.738, -75.148, -595.5, 196.5, -741
162.572, -75.7988, -592.5, 186, -735
162.572, -75.6867, -592.5, 186, -729
162.488, -75.6584, -589.5, 186, -727.5
162.654, -75.8542, -595.5, 186, -738
162.846, -75.9916, -588, 181.5, -727.5
163.13, -76.2101, -598.5, 181.5, -739.5
162.564, -75.6327, -597, 187.5, -732
162.516, -75.551, -600, 189, -733.5
162.53, -75.6867, -591, 186, -729
162.314, -75.8277, -588, 187.5, -742.5
161.653, -75.1991, -588, 195, -738
162.308, -75.4368, -592.5, 189, -727.5
162.579, -75.7974, -588, 184.5, -729
162.836, -76.1006, -592.5, 183, -739.5
161.871, -75.1346, -591, 193.5, -729
161.347, -74.8437, -591, 199.5, -736.5
163.13, -76.129, -598.5, 181.5, -735
162.846, -76.2637, -588, 181.5, -742.5
161.74, -75.1703, -591, 195, -736.5
162.621, -75.6844, -589.5, 184.5, -723
162.958, -76.0734, -597, 183, -738
161.866, -75.003, -600, 196.5, -733.5
162.918, -75.9638, -595.5, 183, -732
162.087, -75.4454, -594, 192, -739.5
162.987, -75.8811, -603, 184.5, -733.5
162.969, -76.1017, -592.5, 181.5, -733.5
163.027, -75.8254, -604.5, 184.5, -730.5
162.468, -75.4411, -603, 190.5, -733.5
163.154, -76.3227, -589.5, 178.5, -733.5
162.404, -75.7988, -586.5, 186, -735
162.53, -75.9365, -591, 186, -742.5
162.516, -75.5226, -600, 189, -732
162.987, -75.9911, -603, 184.5, -739.5
162.041, -75.1346, -597, 193.5, -729
162.736, -75.6584, -598.5, 186, -727.5
162.638, -75.8014, -604.5, 189, -747
162.219, -75.5543, -594, 190.5, -739.5
162.44, -75.7169, -592.5, 187.5, -736.5
162.138, -75.5792, -586.5, 189, -735
163.301, -76.2121, -600, 180, -733.5
162.867, -75.7411, -598.5, 184.5, -726
162.261, -75.3839, -595.5, 190.5, -730.5
162.172, -75.5017, -597, 192, -742.5
163.367, -76.6439, -592.5, 177, -745.5
162.219, -75.4979, -594, 190.5, -736.5
162.523, -75.6609, -595.5, 187.5, -733.5
161.914, -75.1054, -592.5, 193.5, -727.5
162.695, -75.63, -597, 186, -726
162.663, -75.7693, -591, 184.5, -727.5
163.061, -76.2392, -591, 180, -735
162.266, -75.6634, -591, 189, -739.5
163.027, -75.9087, -604.5, 184.5, -735
163.061, -76.0752, -591, 180, -726
162.763, -76.2101, -585, 181.5, -739.5
163.92, -77.0903, -588, 169.5, -739.5
162.219, -75.4411, -594, 190.5, -733.5
162.138, -75.408, -586.5, 189, -726
162.605, -75.8001, -598.5, 187.5, -741
161.783, -75.1991, -592.5, 195, -738
161.917, -75.3601, -588, 192, -735
162.308, -75.6074, -592.5, 189, -736.5
162.786, -75.8533, -595.5, 184.5, -732
163.301, -76.5442, -585, 175.5, -733.5
162.219, -75.3551, -594, 190.5, -729
162.35, -75.4655, -594, 189, -729
163.274, -76.3227, -594, 178.5, -733.5
162.049, -75.4696, -588, 190.5, -735
163.072, -76.3496, -586.5, 178.5, -735
162.713, -75.8524, -588, 183, -726
163.05, -76.2101, -595.5, 181.5, -739.5
163.13, -76.0743, -598.5, 181.5, -732
162.523, -75.6045, -595.5, 187.5, -730.5
163.471, -76.3496, -601.5, 178.5, -735
162.356, -75.689, -589.5, 187.5, -735
162.704, -76.0183, -592.5, 184.5, -741
162.392, -75.4655, -595.5, 189, -729
163.061, -76.1577, -591, 180, -730.5
161.866, -74.9736, -600, 196.5, -732
162.587, -76.1006, -583.5, 183, -739.5
162.516, -75.5792, -600, 189, -735
162.35, -75.551, -594, 189, -733.5
162.564, -75.689, -597, 187.5, -735
162.411, -76.0183, -582, 184.5, -741
