Azimuth (degrees), Elevation (degrees), x (milliGauss), y (milliGauss), z (milliGauss)
165.674, -79.221, -558, 142.5, -748.5
167.28, -80.2977, -571.5, 129, -754.5
166.905, -80.1487, -561, 130.5, -751.5
165.784, -79.3254, -562.5, 142.5, -756
165.786, -79.1738, -568.5, 144, -753
166.459, -79.5742, -573, 138, -750
166.895, -80.0765, -567, 132, -754.5
165.892, -79.3254, -567, 142.5, -756
166.608, -79.796, -567, 135, -750
166.587, -79.9393, -553.5, 132, -744
166.213, -79.4634, -568.5, 139.5, -750
165.822, -79.0889, -570, 144, -747
166.251, -79.6148, -564, 138, -753
166.248, -79.422, -570, 139.5, -747
166.143, -79.5248, -565.5, 139.5, -754.5
165.964, -79.3318, -564, 141, -748.5
166.818, -79.9268, -570, 133.5, -751.5
165.644, -79.021, -568.5, 145.5, -750
166.464, -79.7652, -567, 136.5, -756
166.656, -80.0958, -556.5, 132, -756
165.964, -79.1786, -570, 142.5, -745.5
166.248, -79.5044, -570, 139.5, -753
165.75, -79.2366, -567, 144, -757.5
166.573, -79.8358, -565.5, 135, -753
165.752, -79.0637, -573, 145.5, -753
166.759, -80.0182, -561, 132, -750
165.579, -78.8003, -577.5, 148.5, -750
165.608, -79.0637, -567, 145.5, -753
165.012, -78.4248, -571.5, 153, -747
166.248, -79.484, -570, 139.5, -751.5
166.683, -79.9268, -564, 133.5, -751.5
166.283, -79.5044, -571.5, 139.5, -753
166.861, -79.9591, -565.5, 132, -745.5
166.539, -79.7559, -564, 135, -747
166.321, -79.4712, -567, 138, -742.5
166, -79.3318, -565.5, 141, -748.5
166.213, -79.5654, -568.5, 139.5, -757.5
165.644, -78.9995, -568.5, 145.5, -748.5
166.18, -79.4085, -561, 138, -738
165.857, -79.4076, -565.5, 142.5, -762
164.992, -78.7992, -559.5, 150, -757.5
167.137, -80.2252, -571.5, 130.5, -757.5
166.827, -80.0571, -564, 132, -753
165.819, -79.4147, -558, 141, -754.5
165.782, -79.3318, -556.5, 141, -748.5
166.321, -79.5945, -567, 138, -751.5
166.539, -79.6747, -564, 135, -741
166.283, -79.4634, -571.5, 139.5, -750
166.21, -79.3527, -574.5, 141, -750
166.035, -79.4353, -567, 141, -756
165.256, -78.7558, -570, 150, -754.5
166.39, -79.5945, -570, 138, -751.5
166.035, -79.4761, -567, 141, -759
166.776, -79.816, -574.5, 135, -751.5
165.03, -78.668, -561, 150, -748.5
166.137, -79.1738, -583.5, 144, -753
165.571, -79.2105, -565.5, 145.5, -763.5
165.476, -78.8208, -579, 150, -759
166.178, -79.4012, -567, 139.5, -745.5
166.386, -79.3803, -576, 139.5, -744
166.321, -79.635, -567, 138, -754.5
166.356, -79.635, -568.5, 138, -754.5
165.507, -78.9723, -574.5, 148.5, -762
166.034, -79.1527, -579, 144, -751.5
165.543, -78.8003, -576, 148.5, -750
165.677, -79.1527, -564, 144, -751.5
165.786, -79.278, -568.5, 144, -760.5
165.999, -79.3192, -577.5, 144, -763.5
165.539, -78.9322, -570, 147, -751.5
165.434, -78.7784, -571.5, 148.5, -748.5
165.182, -78.7121, -567, 150, -751.5
166.141, -79.3527, -571.5, 141, -750
166.321, -79.6551, -567, 138, -756
166.709, -79.9534, -571.5, 135, -762
166.928, -80.0958, -568.5, 132, -756
166.213, -79.5044, -568.5, 139.5, -753
166.425, -79.5538, -571.5, 138, -748.5
166.104, -79.263, -576, 142.5, -751.5
165.822, -79.2366, -570, 144, -757.5
166.386, -79.5044, -576, 139.5, -753
165.714, -79.1315, -565.5, 144, -750
166.107, -79.5044, -564, 139.5, -753
165.82, -79.2839, -564, 142.5, -753
167.598, -80.4446, -573, 126, -748.5
166.352, -79.5248, -574.5, 139.5, -754.5
166.035, -79.4761, -567, 141, -759
165.788, -79.1481, -574.5, 145.5, -759
165.429, -79.0177, -565.5, 147, -757.5
166.286, -79.6952, -565.5, 138, -759
165.466, -78.9106, -567, 147, -750
165.324, -78.9723, -567, 148.5, -762
166.143, -79.5452, -565.5, 139.5, -756
166.109, -79.635, -558, 138, -754.5
166.251, -79.6551, -564, 138, -756
166.176, -79.4147, -573, 141, -754.5
165.999, -79.221, -571.5, 142.5, -748.5
166.395, -79.7652, -564, 136.5, -756
165.716, -79.106, -571.5, 145.5, -756
165.279, -78.8889, -559.5, 147, -748.5
165.75, -79.0243, -567, 144, -742.5
166.961, -79.9393, -570, 132, -744
165.683, -78.9322, -576, 147, -751.5
166.459, -79.5332, -573, 138, -747
165.858, -79.1527, -571.5, 144, -751.5
166.248, -79.5248, -570, 139.5, -754.5
166.818, -79.9464, -570, 133.5, -753
165.999, -79.221, -571.5, 142.5, -748.5
166.352, -79.6057, -574.5, 139.5, -760.5
165.68, -79.021, -570, 145.5, -750
166.809, -79.8358, -576, 135, -753
165.822, -79.1738, -570, 144, -753
166.034, -79.4076, -573, 142.5, -762
165.999, -79.3254, -571.5, 142.5, -756
167.183, -80.2406, -567, 129, -750
166.561, -79.6952, -577.5, 138, -759
165.823, -79.106, -576, 145.5, -756
166.317, -79.5248, -573, 139.5, -754.5
166.601, -79.6851, -573, 136.5, -750
166.071, -79.4353, -568.5, 141, -756
166.642, -79.8556, -568.5, 135, -754.5
167.253, -80.1912, -583.5, 132, -763.5
166.176, -79.0971, -573, 141, -732
166.352, -79.422, -574.5, 139.5, -747
166.709, -79.816, -571.5, 135, -751.5
165.249, -78.9511, -564, 148.5, -760.5
166.709, -79.934, -571.5, 135, -760.5
166.885, -79.9268, -573, 133.5, -751.5
166.106, -79.3109, -570, 141, -747
166.283, -79.5044, -571.5, 139.5, -753
165.466, -78.8014, -567, 147, -742.5
166.286, -79.4712, -565.5, 138, -742.5
166.245, -79.3734, -576, 141, -751.5
166.717, -79.8873, -565.5, 133.5, -748.5
166.527, -79.5332, -576, 138, -747
165.964, -79.4428, -558, 139.5, -748.5
166.656, -80.0958, -556.5, 132, -756
166.176, -79.4557, -573, 141, -757.5
166.751, -79.8674, -567, 133.5, -747
166.809, -79.8358, -576, 135, -753
166.178, -79.484, -567, 139.5, -751.5
166.356, -79.5538, -568.5, 138, -748.5
166.356, -79.5945, -568.5, 138, -751.5
166.356, -79.5127, -568.5, 138, -745.5
165.786, -79.0459, -568.5, 144, -744
165.786, -79.1102, -568.5, 144, -748.5
166.567, -79.6037, -571.5, 136.5, -744
165.964, -79.1145, -570, 142.5, -741
166.036, -79.5044, -561, 139.5, -753
166.321, -79.5538, -567, 138, -748.5
165.497, -78.9128, -562.5, 145.5, -742.5
165.571, -78.8469, -565.5, 145.5, -738
165.641, -79.1102, -562.5, 144, -748.5
166.425, -79.5538, -571.5, 138, -748.5
166.245, -79.3527, -576, 141, -750
166.321, -79.5538, -567, 138, -748.5
165.677, -79.1315, -564, 144, -750
166.213, -79.4634, -568.5, 139.5, -750
166.861, -79.9393, -565.5, 132, -744
166.314, -79.4353, -579, 141, -756
166.283, -79.3803, -571.5, 139.5, -744
166.106, -79.2688, -570, 141, -744
166.21, -79.3941, -574.5, 141, -753
165.857, -79.0713, -565.5, 142.5, -738
165.964, -79.3109, -564, 141, -747
165.893, -79.0243, -573, 144, -742.5
165.543, -78.8003, -576, 148.5, -750
166.071, -79.3318, -568.5, 141, -748.5
167.612, -80.3709, -580.5, 127.5, -751.5
167.895, -80.7207, -580.5, 124.5, -762
167.565, -80.2597, -585, 129, -751.5
166.973, -79.8753, -583.5, 135, -756
166.816, -79.5654, -595.5, 139.5, -757.5
165.657, -78.6021, -592.5, 151.5, -751.5
165.861, -78.9084, -589.5, 148.5, -757.5
165.964, -78.6021, -606, 151.5, -751.5
166.704, -79.0929, -603, 142.5, -739.5
165.56, -78.4498, -600, 154.5, -756
164.952, -77.9443, -597, 160.5, -751.5
165.391, -78.2728, -598.5, 156, -751.5
166.064, -78.7121, -604.5, 150, -751.5
165.694, -78.4248, -600, 153, -747
165.761, -78.5799, -597, 151.5, -750
165.466, -78.209, -607.5, 157.5, -754.5
165.292, -78.1861, -600, 157.5, -753
165.832, -78.3372, -612, 154.5, -748.5
165.193, -78.1911, -601.5, 159, -760.5
165.595, -78.405, -601.5, 154.5, -753
165.53, -78.4742, -604.5, 156, -765
165.964, -78.5353, -606, 151.5, -747
165.726, -78.5576, -595.5, 151.5, -748.5
166.198, -78.7784, -604.5, 148.5, -748.5
165.356, -78.1811, -597, 156, -745.5
165.32, -78.1347, -595.5, 156, -742.5
166.13, -78.6458, -607.5, 150, -747
165.396, -78.1632, -604.5, 157.5, -751.5
164.818, -77.9052, -597, 162, -756
165.761, -78.5799, -597, 151.5, -750
165.396, -78.0003, -604.5, 157.5, -741
166.132, -78.7565, -601.5, 148.5, -747
165.798, -78.1992, -610.5, 154.5, -739.5
164.757, -77.6541, -600, 163.5, -747
165.726, -78.6682, -595.5, 151.5, -756
165.66, -78.4474, -598.5, 153, -748.5
165.66, -78.5146, -598.5, 153, -753
165.56, -78.2686, -600, 154.5, -744
165.591, -78.4022, -595.5, 153, -745.5
166.065, -78.9723, -598.5, 148.5, -762
165.629, -78.3599, -603, 154.5, -750
166.267, -78.9322, -601.5, 147, -751.5
166.974, -79.5654, -603, 139.5, -757.5
168.053, -80.5192, -595.5, 126, -754.5
168.111, -80.647, -598.5, 126, -765
168.33, -80.8306, -595.5, 123, -762
168.468, -81.0445, -595.5, 121.5, -771
169.189, -81.5242, -597, 114, -765
170.17, -82.3477, -606, 105, -781.5
172.285, -83.9738, -609, 82.5, -781.5
172.19, -84.0975, -601.5, 82.5, -798
172.805, -84.5241, -606, 76.5, -798
172.442, -84.1162, -610.5, 81, -786
173.118, -84.698, -609, 73.5, -792
173.738, -85.2808, -601.5, 66, -799.5
172.132, -84.0419, -597, 82.5, -790.5
172.84, -84.5241, -609, 76.5, -798
172.611, -84.3648, -601.5, 78, -790.5
173.016, -84.7474, -600, 73.5, -799.5
172.611, -84.4069, -601.5, 78, -796.5
172.91, -84.6107, -603, 75, -795
173.085, -84.7278, -606, 73.5, -796.5
172.786, -84.6107, -592.5, 75, -795
171.83, -83.7896, -606, 87, -799.5
172.358, -84.2463, -592.5, 79.5, -789
172.093, -83.9738, -594, 82.5, -781.5
172.33, -84.1933, -601.5, 81, -796.5
171.809, -83.7564, -594, 85.5, -781.5
171.568, -83.6121, -597, 88.5, -790.5
171.243, -83.4345, -594, 91.5, -795
171.89, -83.7683, -600, 85.5, -783
171.89, -83.9115, -589.5, 84, -787.5
171.605, -83.743, -589.5, 87, -793.5
171.849, -83.8884, -586.5, 84, -784.5
171.133, -83.3725, -586.5, 91.5, -787.5
171.221, -83.3221, -592.5, 91.5, -781.5
170.99, -83.2393, -586.5, 93, -784.5
171.688, -83.6477, -595.5, 87, -781.5
171.685, -83.8501, -585, 85.5, -793.5
171.035, -83.2648, -589.5, 93, -787.5
171.448, -83.4181, -598.5, 90, -780
170.777, -83.1183, -582, 94.5, -783
171.448, -83.4431, -598.5, 90, -783
171.727, -83.7445, -588, 85.5, -780
170.983, -83.1443, -595.5, 94.5, -786
171.427, -83.4306, -597, 90, -781.5
171.584, -83.6477, -588, 87, -781.5
171.363, -83.4802, -592.5, 90, -787.5
170.893, -83.1183, -589.5, 94.5, -783
171.012, -83.2136, -588, 93, -781.5
170.824, -83.1313, -585, 94.5, -784.5
171.89, -83.7205, -600, 85.5, -777
170.585, -82.8885, -588, 97.5, -781.5
171.005, -83.1443, -597, 94.5, -786
172.113, -83.9623, -595.5, 82.5, -780
170.797, -82.9835, -592.5, 96, -780
170.397, -82.741, -594, 100.5, -789
171.341, -83.4925, -591, 90, -789
171.89, -83.7325, -600, 85.5, -778.5
170.585, -82.8614, -588, 97.5, -778.5
170.632, -82.9154, -591, 97.5, -784.5
170.116, -82.4843, -594, 103.5, -784.5
171.049, -83.1183, -600, 94.5, -783
171.102, -83.2007, -594, 93, -780
171.221, -83.3221, -592.5, 91.5, -781.5
170.538, -82.8478, -585, 97.5, -777
171.469, -83.4555, -600, 90, -784.5
170.514, -82.8885, -583.5, 97.5, -781.5
171.093, -83.0921, -603, 94.5, -780
170.608, -82.725, -598.5, 99, -775.5
170.847, -83.1572, -586.5, 94.5, -787.5
171.476, -83.7195, -580.5, 87, -790.5
170.679, -82.875, -594, 97.5, -780
170.373, -82.7135, -592.5, 100.5, -786
171.276, -83.3929, -586.5, 90, -777
170.561, -82.8478, -586.5, 97.5, -777
171.168, -83.1747, -598.5, 93, -777
172.531, -84.4198, -583.5, 76.5, -783
171.102, -83.2265, -594, 93, -783
171.483, -83.502, -591, 88.5, -777
170.944, -83.2136, -583.5, 93, -781.5
170.655, -82.902, -592.5, 97.5, -783
171.829, -83.6842, -595.5, 85.5, -772.5
171.89, -83.7085, -600, 85.5, -775.5
170.538, -82.8614, -585, 97.5, -778.5
171.049, -83.1052, -600, 94.5, -781.5
170.915, -83.0789, -591, 94.5, -778.5
170.657, -82.9835, -583.5, 96, -780
170.751, -82.9432, -589.5, 96, -775.5
170.679, -82.902, -594, 97.5, -783
171.155, -83.3221, -588, 91.5, -781.5
170.467, -82.7665, -589.5, 99, -780
170.704, -82.9024, -586.5, 96, -771
170.067, -82.4126, -591, 103.5, -777
170.797, -82.9432, -592.5, 96, -775.5
169.721, -82.3622, -579, 105, -783
170.824, -83.0122, -585, 94.5, -771
169.992, -82.3395, -586.5, 103.5, -769.5
167.807, -80.2788, -597, 129, -753
167.058, -79.8245, -594, 136.5, -760.5
164.88, -77.9676, -594, 160.5, -753
164.55, -77.6166, -597, 165, -751.5
164.27, -77.5327, -580.5, 163.5, -739.5
164.249, -77.272, -585, 165, -730.5
163.602, -76.9883, -576, 169.5, -733.5
163.723, -76.9625, -580.5, 169.5, -732
164.62, -77.7786, -583.5, 160.5, -741
165.096, -78.1054, -580.5, 154.5, -733.5
163.997, -76.9625, -591, 169.5, -732
164.401, -77.4466, -591, 165, -741
163.901, -77.0812, -592.5, 171, -745.5
163.938, -77.2008, -583.5, 168, -739.5
164.347, -77.678, -583.5, 163.5, -748.5
164.733, -77.9209, -588, 160.5, -750
164.597, -77.6436, -588, 162, -739.5
165.391, -78.2728, -598.5, 156, -751.5
165.657, -78.5353, -592.5, 151.5, -747
164.15, -77.3386, -597, 169.5, -754.5
165.964, -78.5799, -606, 151.5, -750
166.332, -78.9751, -604.5, 147, -754.5
166.499, -79.106, -606, 145.5, -756
167.067, -79.6456, -607.5, 139.5, -763.5
168.663, -80.958, -606, 121.5, -763.5
169.011, -81.2206, -618, 120, -777
170.016, -82.1763, -613.5, 108, -786
170.218, -82.5457, -609, 105, -802.5
171.137, -83.3456, -606, 94.5, -810
172.089, -84.0244, -604.5, 84, -802.5
172.241, -84.1546, -616.5, 84, -820.5
170.199, -82.5233, -616.5, 106.5, -811.5
169.984, -82.4264, -603, 106.5, -801
168.214, -81.1887, -589.5, 123, -793.5
166.106, -79.4353, -570, 141, -756
164.682, -77.9838, -580.5, 159, -747
165.122, -77.745, -598.5, 159, -732
165.964, -78.511, -600, 150, -738
165.632, -78.0644, -609, 156, -738
165.263, -77.8416, -604.5, 159, -738
